tratamiento,nutricion,mo,1000granos_gr,rendimiento_grm2,5tallos_hum,5tallos_sec_gr,grano_panicula_gr,granosvanos_panicula
TMO,manual,si,20.00,618.00,44.00,26.80,128.00,32.00
TMO,manual,si,23.00,666.00,46.00,28.20,106.00,12.00
TMO,manual,si,23.00,688.00,44.00,28.80,133.00,56.00
TMO,manual,si,20.00,678.00,40.00,26.20,62.00,71.00
TMO,manual,si,24.00,732.00,42.00,27.60,125.00,25.00
F130,F130,no,21.00,680.00,52.00,28.60,114.00,69.00
F130,F130,no,23.00,670.00,62.00,30.70,171.00,24.00
F130,F130,no,21.00,692.00,38.00,25.00,69.00,29.00
F130,F130,no,22.00,650.00,48.00,28.50,119.00,89.00
F130,F130,no,23.00,678.00,40.00,26.90,117.00,36.00
F130MO,F130,si,23.00,922.00,48.00,28.20,95.00,32.00
F130MO,F130,si,22.00,636.00,44.00,27.20,111.00,30.00
F130MO,F130,si,27.00,696.00,60.00,32.40,175.00,59.00
F130MO,F130,si,24.00,566.00,38.00,25.50,109.00,14.00
F130MO,F130,si,21.00,490.00,36.00,24.90,115.00,32.00
F100,F100,no,23.00,958.00,58.00,30.80,161.00,39.00
F100,F100,no,23.00,690.00,58.00,29.80,129.00,29.00
F100,F100,no,21.00,776.00,38.00,25.20,99.00,44.00
F100,F100,no,22.00,624.00,42.00,26.40,82.00,33.00
F100,F100,no,22.00,500.00,54.00,29.50,121.00,35.00
TMO,manual,si,23.00,618.00,44.00,26.70,141.00,30.00
TMO,manual,si,25.00,680.00,42.00,27.00,116.00,29.00
TMO,manual,si,25.00,350.00,38.00,25.20,25.00,86.00
TMO,manual,si,22.00,524.00,30.00,23.40,77.00,56.00
TMO,manual,si,21.00,354.00,64.00,31.80,134.00,110.00
F100,F100,no,24.00,564.00,50.00,29.20,140.00,45.00
F100,F100,no,25.00,618.00,48.00,28.60,90.00,26.00
F100,F100,no,26.00,622.00,48.00,28.30,104.00,20.00
F100,F100,no,20.00,336.00,42.00,26.90,123.00,57.00
F100,F100,no,22.00,504.00,54.00,30.00,122.00,13.00
T,manual,no,21.00,588.00,46.00,28.10,150.00,39.00
T,manual,no,22.00,518.00,38.00,24.80,130.00,35.00
T,manual,no,22.00,466.00,32.00,26.90,106.00,46.00
T,manual,no,22.00,528.00,42.00,26.00,92.00,40.00
T,manual,no,21.00,622.00,36.00,25.80,65.00,46.00
F130MO,F130,si,25.00,782.00,44.00,25.70,112.00,49.00
F130MO,F130,si,23.00,706.00,44.00,27.70,169.00,28.00
F130MO,F130,si,35.00,750.00,38.00,26.90,211.00,16.00
F130MO,F130,si,23.00,706.00,52.00,29.00,161.00,34.00
F130MO,F130,si,24.00,364.00,32.00,23.00,73.00,52.00
F130,F130,no,23.00,590.00,48.00,29.20,62.00,68.00
F130,F130,no,25.00,754.00,36.00,25.20,74.00,38.00
F130,F130,no,23.00,574.00,32.00,24.50,76.00,88.00
F130,F130,no,22.00,584.00,32.00,25.00,131.00,34.00
F130,F130,no,22.00,628.00,44.00,28.80,199.00,48.00
F100MO,F100,si,26.00,472.00,48.00,26.70,74.00,26.00
F100MO,F100,si,23.00,744.00,40.00,26.00,67.00,70.00
F100MO,F100,si,22.00,458.00,40.00,26.30,94.00,53.00
F100MO,F100,si,22.00,546.00,40.00,26.40,85.00,21.00
F100MO,F100,si,22.00,906.00,36.00,26.00,66.00,25.00
T,manual,no,23.00,496.00,38.00,25.20,58.00,63.00
T,manual,no,25.00,452.00,44.00,27.60,85.00,48.00
T,manual,no,22.00,592.00,42.00,27.00,107.00,45.00
T,manual,no,24.00,424.00,50.00,27.30,107.00,71.00
T,manual,no,23.00,418.00,38.00,25.30,83.00,129.00
F100MO,F100,si,19.00,476.00,48.00,29.50,141.00,70.00
F100MO,F100,si,21.00,376.00,42.00,27.70,94.00,102.00
F100MO,F100,si,24.00,748.00,48.00,29.10,126.00,43.00
F100MO,F100,si,22.00,506.00,38.00,25.50,108.00,84.00
F100MO,F100,si,23.00,446.00,38.00,26.00,108.00,107.00
